"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/jaime-jaquez-odds-5960","275","0.0",2.75,"18.4","55.00",NA,NA,NA,"280","0.0",2.8,"21.3","56.00",NA,NA,NA,"290","0.0",2.9,"18.4","58.00",NA,NA,NA,"280","0.0",2.8,"18.3","56.00",NA,NA,NA,"275","0.0",2.75,"23.9","55.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","290","0.0",2.9,NA,"58.00",2025-11-29
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/reed-sheppard-odds-6257","550","0.0",5.5,"10.6","110.00",NA,NA,NA,"800","0.0",8,"9.0","160.00",NA,NA,NA,"600","0.0",6,"10.2","120.00",NA,NA,NA,"850","0.0",8.5,"7.3","170.00",NA,NA,NA,"850","0.0",8.5,"9.4","170.00",NA,NA,NA,"800","0.0",8,"14.1","160.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","850","0.0",8.5,NA,"170.00",2025-11-29
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/ajay-mitchell-odds-6289","950","0.0",9.5,"6.6","190.00",NA,NA,NA,"800","0.0",8,"9.0","160.00",NA,NA,NA,"1200","0.0",12,"5.5","240.00",NA,NA,NA,"1200","0.0",12,"5.3","240.00",NA,NA,NA,"1200","0.0",12,"6.9","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1200","0.0",12,NA,"240.00",2025-11-29
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/jerami-grant-odds-3588","1000","0.0",10,"6.3","200.00",NA,NA,NA,"1500","0.0",15,"5.1","300.00",NA,NA,NA,"1200","0.0",12,"5.5","240.00",NA,NA,NA,"1200","0.0",12,"5.3","240.00",NA,NA,NA,"1200","0.0",12,"6.9","240.00",NA,NA,NA,"1000","0.0",10,"11.6","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1500","0.0",15,NA,"300.00",2025-11-29
"Sixth Man","5391","Quentin","Grimes","Quentin Grimes","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/quentin-grimes-odds-5391","1600","0.0",16,"4.0","320.00",NA,NA,NA,"1600","0.0",16,"4.8","320.00",NA,NA,NA,"1300","0.0",13,"5.1","260.00",NA,NA,NA,"1700","0.0",17,"3.9","340.00",NA,NA,NA,"1600","0.0",16,"5.3","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1700","0.0",17,NA,"340.00",2025-11-29
"Sixth Man","5118","Onyeka","Okongwu","Onyeka Okongwu","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/onyeka-okongwu-odds-5118","2000","0.0",20,"3.3","400.00",NA,NA,NA,"1200","0.0",12,"6.2","240.00",NA,NA,NA,"2000","0.0",20,"3.4","400.00",NA,NA,NA,"2000","0.0",20,"3.3","400.00",NA,NA,NA,"2000","0.0",20,"4.3","400.00",NA,NA,NA,"1400","0.0",14,"8.5","280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2000","0.0",20,NA,"400.00",2025-11-29
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/naz-reid-odds-4806","2200","0.0",22,"3.0","440.00",NA,NA,NA,"2200","0.0",22,"3.5","440.00",NA,NA,NA,"2000","0.0",20,"3.4","400.00",NA,NA,NA,"2000","0.0",20,"3.3","400.00",NA,NA,NA,"2250","0.0",22.5,"3.8","450.00",NA,NA,NA,"2000","0.0",20,"6.1","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2250","0.0",22.5,NA,"450.00",2025-11-29
"Sixth Man","5337","Ayo","Dosunmu","Ayo Dosunmu","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=7","/betting/nba/player/ayo-dosunmu-odds-5337","3000","0.0",30,"2.2","600.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3300","0.0",33,"2.1","660.00",NA,NA,NA,"2700","0.0",27,"2.5","540.00",NA,NA,NA,"3000","0.0",30,"2.9","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","3300","0.0",33,NA,"660.00",2025-11-29
"Sixth Man","4136","Josh","Hart","Josh Hart","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=7","/betting/nba/player/josh-hart-odds-4136","3500","0.0",35,"1.9","700.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3300","0.0",33,"2.1","660.00",NA,NA,NA,"3500","0.0",35,"1.9","700.00",NA,NA,NA,"2500","0.0",25,"3.4","500.00",NA,NA,NA,"3000","0.0",30,"4.1","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3500","0.0",35,NA,"700.00",2025-11-29
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=7","/betting/nba/player/anfernee-simons-odds-4373","3000","0.0",30,"2.2","600.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3300","0.0",33,"2.1","660.00",NA,NA,NA,"3000","0.0",30,"2.2","600.00",NA,NA,NA,"4000","0.0",40,"2.2","800.00",NA,NA,NA,"2500","0.0",25,"4.9","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2025-11-29
