"future","playerID","firstName","lastName","name","team","logo","playerURL","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=7","/betting/nba/player/anfernee-simons-odds-4373","3500","0.0",35,"2.3","700.00",NA,NA,NA,"3300","0.0",33,"2.0","660.00",NA,NA,NA,"3500","0.0",35,"2.0","700.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"3500","0.0",35,"3.7","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3500","0.0",35,NA,"700.00",2025-12-08
"Sixth Man","5412","Aaron","Wiggins","Aaron Wiggins","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/aaron-wiggins-odds-5412","3000","0.0",30,"2.7","600.00",NA,NA,NA,"2500","0.0",25,"2.6","500.00",NA,NA,NA,"3500","0.0",35,"2.0","700.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"3500","0.0",35,"3.7","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3500","0.0",35,NA,"700.00",2025-12-08
"Sixth Man","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/nickeil-alexander-walker-odds-4765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"3.2","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","4000","0.0",40,NA,"800.00",2025-12-08
"Sixth Man","5337","Ayo","Dosunmu","Ayo Dosunmu","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=7","/betting/nba/player/ayo-dosunmu-odds-5337","2800","0.0",28,"2.9","560.00",NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,"2500","0.0",25,"2.7","500.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","4000","0.0",40,NA,"800.00",2025-12-08
"Sixth Man","3669","Kristaps","Porzingis","Kristaps Porzingis","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/kristaps-porzingis-odds-3669",NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,"2000","0.0",20,"3.4","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"espnbet","4000","0.0",40,NA,"800.00",2025-12-08
"Sixth Man","6275","Kel'el","Ware","Kel'el Ware","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/kelel-ware-odds-6275","4000","0.0",40,"2.0","800.00",NA,NA,NA,"2500","0.0",25,"2.6","500.00",NA,NA,NA,"2700","0.0",27,"2.5","540.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2025-12-08
"Sixth Man","5291","Isaiah","Joe","Isaiah Joe","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/isaiah-joe-odds-5291","5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,"4500","0.0",45,"1.6","900.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00",2025-12-08
"Sixth Man","4117","Malik","Monk","Malik Monk","SAC","https://content.rotowire.com/images/teamlogo/basketball/100SAC.png?v=7","/betting/nba/player/malik-monk-odds-4117","5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"5000","0.0",50,"1.3","1,000.00",NA,NA,NA,"5000","0.0",50,"1.4","1,000.00",NA,NA,NA,"5000","0.0",50,"1.5","1,000.00",NA,NA,NA,"5000","0.0",50,"2.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00",2025-12-08
"Sixth Man","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=7","/betting/nba/player/isaiah-stewart-odds-5137","5000","0.0",50,"1.6","1,000.00",NA,NA,NA,"3300","0.0",33,"2.0","660.00",NA,NA,NA,"3000","0.0",30,"2.3","600.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00",2025-12-08
"Sixth Man","5889","Brandin","Podziemski","Brandin Podziemski","GSW","https://content.rotowire.com/images/teamlogo/basketball/100GSW.png?v=7","/betting/nba/player/brandin-podziemski-odds-5889","5500","0.0",55,"1.5","1,100.00",NA,NA,NA,"5000","0.0",50,"1.3","1,000.00",NA,NA,NA,"4000","0.0",40,"1.7","800.00",NA,NA,NA,"4000","0.0",40,"1.9","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5500","0.0",55,NA,"1,100.00",2025-12-08
