"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=7","/betting/nba/player/anthony-black-odds-5910","600","0.0",6,"10.9","120.00",NA,NA,NA,"600","0.0",6,"11.9","120.00",NA,NA,NA,"600","0.0",6,"10.4","120.00",NA,NA,NA,"600","0.0",6,"12.0","120.00",NA,NA,NA,"600","0.0",6,"18.3","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","600","0.0",6,NA,"120.00",2025-12-17
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/jaime-jaquez-odds-5960","600","0.0",6,"10.9","120.00",NA,NA,NA,"600","0.0",6,"11.9","120.00",NA,NA,NA,"600","0.0",6,"10.4","120.00",NA,NA,NA,"600","0.0",6,"12.0","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","600","0.0",6,NA,"120.00",2025-12-17
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/reed-sheppard-odds-6257","700","0.0",7,"9.5","140.00",NA,NA,NA,"900","0.0",9,"8.3","180.00",NA,NA,NA,"1000","0.0",10,"6.6","200.00",NA,NA,NA,"900","0.0",9,"8.4","180.00",NA,NA,NA,"900","0.0",9,"12.8","180.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1000","0.0",10,NA,"200.00",2025-12-17
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/naz-reid-odds-4806","1200","0.0",12,"5.9","240.00",NA,NA,NA,"1000","0.0",10,"7.6","200.00",NA,NA,NA,"800","0.0",8,"8.1","160.00",NA,NA,NA,"1000","0.0",10,"7.6","200.00",NA,NA,NA,"1100","0.0",11,"10.7","220.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","1200","0.0",12,NA,"240.00",2025-12-17
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/ajay-mitchell-odds-6289","1000","0.0",10,"6.9","200.00",NA,NA,NA,"1400","0.0",14,"5.6","280.00",NA,NA,NA,"1300","0.0",13,"5.2","260.00",NA,NA,NA,"1400","0.0",14,"5.6","280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1400","0.0",14,NA,"280.00",2025-12-17
"Sixth Man","5391","Quentin","Grimes","Quentin Grimes","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/quentin-grimes-odds-5391","1500","0.0",15,"4.8","300.00",NA,NA,NA,"1800","0.0",18,"4.4","360.00",NA,NA,NA,"1400","0.0",14,"4.8","280.00",NA,NA,NA,"1750","0.0",17.5,"4.5","350.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1800","0.0",18,NA,"360.00",2025-12-17
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/jerami-grant-odds-3588","1600","0.0",16,"4.5","320.00",NA,NA,NA,"1600","0.0",16,"4.9","320.00",NA,NA,NA,"1900","0.0",19,"3.6","380.00",NA,NA,NA,"1600","0.0",16,"4.9","320.00",NA,NA,NA,"1500","0.0",15,"8.0","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1900","0.0",19,NA,"380.00",2025-12-17
"Sixth Man","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=7","/betting/nba/player/dylan-harper-odds-6549","1600","0.0",16,"4.5","320.00",NA,NA,NA,"1800","0.0",18,"4.4","360.00",NA,NA,NA,"1300","0.0",13,"5.2","260.00",NA,NA,NA,"1750","0.0",17.5,"4.5","350.00",NA,NA,NA,"2000","0.0",20,"6.1","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","2000","0.0",20,NA,"400.00",2025-12-17
"Sixth Man","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=7","/betting/nba/player/collin-gillespie-odds-5732","2500","0.0",25,"2.9","500.00",NA,NA,NA,"2200","0.0",22,"3.6","440.00",NA,NA,NA,"2200","0.0",22,"3.2","440.00",NA,NA,NA,"2250","0.0",22.5,"3.6","450.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","2500","0.0",25,NA,"500.00",2025-12-17
"Sixth Man","5412","Aaron","Wiggins","Aaron Wiggins","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/aaron-wiggins-odds-5412","3500","0.0",35,"2.1","700.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"3000","0.0",30,"2.3","600.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"3500","0.0",35,"3.6","700.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","3500","0.0",35,NA,"700.00",2025-12-17
