"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/jerami-grant-odds-3588","1000","0.0",10,"5.6","200.00",NA,NA,NA,"1100","0.0",11,"5.9","220.00",NA,NA,NA,"1100","0.0",11,"5.9","220.00",NA,NA,NA,"1200","0.0",12,"5.2","240.00",NA,NA,NA,"1200","0.0",12,"6.0","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","1200","0.0",12,NA,"240.00",2025-10-30
"Sixth Man","4136","Josh","Hart","Josh Hart","NYK","https://content.rotowire.com/images/teamlogo/basketball/100NYK.png?v=7","/betting/nba/player/josh-hart-odds-4136","1400","0.0",14,"4.1","280.00",NA,NA,NA,"1200","0.0",12,"5.5","240.00",NA,NA,NA,"1500","0.0",15,"4.4","300.00",NA,NA,NA,"1200","0.0",12,"5.2","240.00",NA,NA,NA,"1400","0.0",14,"5.2","280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1500","0.0",15,NA,"300.00",2025-10-30
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/naz-reid-odds-4806","1600","0.0",16,"3.7","320.00",NA,NA,NA,"1400","0.0",14,"4.7","280.00",NA,NA,NA,"1400","0.0",14,"4.7","280.00",NA,NA,NA,"1400","0.0",14,"4.5","280.00",NA,NA,NA,"1200","0.0",12,"6.0","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","1600","0.0",16,NA,"320.00",2025-10-30
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=7","/betting/nba/player/anfernee-simons-odds-4373","1400","0.0",14,"4.1","280.00",NA,NA,NA,"1500","0.0",15,"4.4","300.00",NA,NA,NA,"1600","0.0",16,"4.1","320.00",NA,NA,NA,"1500","0.0",15,"4.2","300.00",NA,NA,NA,"1600","0.0",16,"4.6","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1600","0.0",16,NA,"320.00",2025-10-30
"Sixth Man","5118","Onyeka","Okongwu","Onyeka Okongwu","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/onyeka-okongwu-odds-5118","1400","0.0",14,"4.1","280.00",NA,NA,NA,"1600","0.0",16,"4.2","320.00",NA,NA,NA,"1800","0.0",18,"3.7","360.00",NA,NA,NA,"1750","0.0",17.5,"3.6","350.00",NA,NA,NA,"1400","0.0",14,"5.2","280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1800","0.0",18,NA,"360.00",2025-10-30
"Sixth Man","5704","Tari","Eason","Tari Eason","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/tari-eason-odds-5704","1800","0.0",18,"3.3","360.00",NA,NA,NA,"1500","0.0",15,"4.4","300.00",NA,NA,NA,"1800","0.0",18,"3.7","360.00",NA,NA,NA,"2000","0.0",20,"3.2","400.00",NA,NA,NA,"1600","0.0",16,"4.6","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2000","0.0",20,NA,"400.00",2025-10-30
"Sixth Man","4776","De'Andre","Hunter","De'Andre Hunter","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=7","/betting/nba/player/deandre-hunter-odds-4776","2000","0.0",20,"3.0","400.00",NA,NA,NA,"1400","0.0",14,"4.7","280.00",NA,NA,NA,"1800","0.0",18,"3.7","360.00",NA,NA,NA,"1400","0.0",14,"4.5","280.00",NA,NA,NA,"1600","0.0",16,"4.6","320.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","2000","0.0",20,NA,"400.00",2025-10-30
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/jaime-jaquez-odds-5960","1800","0.0",18,"3.3","360.00",NA,NA,NA,"2000","0.0",20,"3.4","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","0.0",20,"3.2","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2000","0.0",20,NA,"400.00",2025-10-30
"Sixth Man","4159","John","Collins","John Collins","LAC","https://content.rotowire.com/images/teamlogo/basketball/100LAC.png?v=7","/betting/nba/player/john-collins-odds-4159","1600","0.0",16,"3.7","320.00",NA,NA,NA,"2500","0.0",25,"2.7","500.00",NA,NA,NA,"1500","0.0",15,"4.4","300.00",NA,NA,NA,"1500","0.0",15,"4.2","300.00",NA,NA,NA,"1400","0.0",14,"5.2","280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2025-10-30
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/ajay-mitchell-odds-6289","2500","0.0",25,"2.4","500.00",NA,NA,NA,"1800","0.0",18,"3.7","360.00",NA,NA,NA,"2200","0.0",22,"3.1","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","2500","0.0",25,NA,"500.00",2025-10-30
