"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","225","0.0",2.25,"24.9","45.00",NA,NA,NA,"230","0.0",2.3,"24.5","46.00",NA,NA,NA,"240","0.0",2.4,"23.9","48.00",NA,NA,NA,"230","0.0",2.3,"24.5","46.00",NA,NA,NA,"250","0.0",2.5,"33.0","50.00",NA,NA,NA,"235","0.0",2.35,"24.2","47.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","250","0.0",2.5,NA,"50.00",2026-01-29
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","420","0.0",4.2,"15.6","84.00",NA,NA,NA,"425","0.0",4.25,"15.4","85.00",NA,NA,NA,"400","0.0",4,"16.2","80.00",NA,NA,NA,"425","0.0",4.25,"15.4","85.00",NA,NA,NA,"400","0.0",4,"23.1","80.00",NA,NA,NA,"425","0.0",4.25,"15.4","85.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","425","0.0",4.25,NA,"85.00",2026-01-29
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","600","0.0",6,"11.6","120.00",NA,NA,NA,"700","0.0",7,"10.1","140.00",NA,NA,NA,"600","0.0",6,"11.6","120.00",NA,NA,NA,"700","0.0",7,"10.1","140.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"600","0.0",6,"11.6","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","700","0.0",7,NA,"140.00",2026-01-29
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","750","0.0",7.5,"9.5","150.00",NA,NA,NA,"800","0.0",8,"9.0","160.00",NA,NA,NA,"800","0.0",8,"9.0","160.00",NA,NA,NA,"800","0.0",8,"9.0","160.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"800","0.0",8,"9.0","160.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","800","0.0",8,NA,"160.00",2026-01-29
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","BOS","https://content.rotowire.com/images/teamlogo/basketball/100BOS.png?v=10","/betting/nba/player/anfernee-simons-odds-4373","900","0.0",9,"8.1","180.00",NA,NA,NA,"900","0.0",9,"8.1","180.00",NA,NA,NA,"850","0.0",8.5,"8.5","170.00",NA,NA,NA,"900","0.0",9,"8.1","180.00",NA,NA,NA,"1100","0.0",11,"9.6","220.00",NA,NA,NA,"1000","0.0",10,"7.4","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","1100","0.0",11,NA,"220.00",2026-01-29
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","900","0.0",9,"8.1","180.00",NA,NA,NA,"1200","0.0",12,"6.2","240.00",NA,NA,NA,"1000","0.0",10,"7.4","200.00",NA,NA,NA,"1200","0.0",12,"6.2","240.00",NA,NA,NA,"1000","0.0",10,"10.5","200.00",NA,NA,NA,"1000","0.0",10,"7.4","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1200","0.0",12,NA,"240.00",2026-01-29
"Sixth Man","4454","Grayson","Allen","Grayson Allen","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/grayson-allen-odds-4454","2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"3.8","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2000","0.0",20,NA,"400.00",2026-01-29
"Sixth Man","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/collin-gillespie-odds-5732",NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2026-01-29
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","3000","0.0",30,"2.6","600.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"2500","0.0",25,"3.1","500.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"1200","0.0",12,"8.9","240.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","3300","0.0",33,NA,"660.00",2026-01-29
"Sixth Man","5391","Quentin","Grimes","Quentin Grimes","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=10","/betting/nba/player/quentin-grimes-odds-5391","4000","0.0",40,"2.0","800.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2026-01-29
