"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","350","0.0",3.5,"17.1","70.00",NA,NA,NA,"350","0.0",3.5,"18.7","70.00",NA,NA,NA,"350","0.0",3.5,"17.2","70.00",NA,NA,NA,"350","0.0",3.5,"19.5","70.00",NA,NA,NA,"325","0.0",3.25,"24.6","65.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","350","0.0",3.5,NA,"70.00",2026-01-08
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","350","0.0",3.5,"17.1","70.00",NA,NA,NA,"400","0.0",4,"16.9","80.00",NA,NA,NA,"400","0.0",4,"15.5","80.00",NA,NA,NA,"400","0.0",4,"17.5","80.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","400","0.0",4,NA,"80.00",2026-01-08
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","750","0.0",7.5,"9.1","150.00",NA,NA,NA,"800","0.0",8,"9.4","160.00",NA,NA,NA,"750","0.0",7.5,"9.1","150.00",NA,NA,NA,"750","0.0",7.5,"10.3","150.00",NA,NA,NA,"700","0.0",7,"13.1","140.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","800","0.0",8,NA,"160.00",2026-01-08
"Sixth Man","4765","Nickeil","Alexander-Walker","Nickeil Alexander-Walker","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=10","/betting/nba/player/nickeil-alexander-walker-odds-4765",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"900","0.0",9,"10.5","180.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","900","0.0",9,NA,"180.00",2026-01-08
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","550","0.0",5.5,"11.8","110.00",NA,NA,NA,"750","0.0",7.5,"9.9","150.00",NA,NA,NA,"650","0.0",6.5,"10.3","130.00",NA,NA,NA,"900","0.0",9,"8.8","180.00",NA,NA,NA,"750","0.0",7.5,"12.3","150.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","900","0.0",9,NA,"180.00",2026-01-08
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","750","0.0",7.5,"9.1","150.00",NA,NA,NA,"1100","0.0",11,"7.0","220.00",NA,NA,NA,"1000","0.0",10,"7.1","200.00",NA,NA,NA,"1000","0.0",10,"8.0","200.00",NA,NA,NA,"1100","0.0",11,"8.7","220.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1100","0.0",11,NA,"220.00",2026-01-08
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","1800","0.0",18,"4.1","360.00",NA,NA,NA,"2200","0.0",22,"3.7","440.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,"2000","0.0",20,"4.2","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2200","0.0",22,NA,"440.00",2026-01-08
"Sixth Man","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/collin-gillespie-odds-5732","1500","0.0",15,"4.8","300.00",NA,NA,NA,"1600","0.0",16,"5.0","320.00",NA,NA,NA,"1500","0.0",15,"4.9","300.00",NA,NA,NA,"2250","0.0",22.5,"3.7","450.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2250","0.0",22.5,NA,"450.00",2026-01-08
"Sixth Man","6277","Jaylon","Tyson","Jaylon Tyson","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/jaylon-tyson-odds-6277",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2500","0.0",25,NA,"500.00",2026-01-08
"Sixth Man","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/isaiah-stewart-odds-5137","2800","0.0",28,"2.7","560.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,"3000","0.0",30,"2.8","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2026-01-08
