"future","playerID","firstName","lastName","name","team","logo","playerURL","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=7","/betting/nba/player/jaime-jaquez-odds-5960","450","0.0",4.5,"15.1","90.00",NA,NA,NA,"425","0.0",4.25,"12.8","85.00",NA,NA,NA,"430","0.0",4.3,"13.4","86.00",NA,NA,NA,"750","0.0",7.5,"7.8","150.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","750","0.0",7.5,NA,"150.00",2025-11-11
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=7","/betting/nba/player/ajay-mitchell-odds-6289","700","0.0",7,"10.4","140.00",NA,NA,NA,"750","0.0",7.5,"7.9","150.00",NA,NA,NA,"750","0.0",7.5,"8.3","150.00",NA,NA,NA,"700","0.0",7,"8.3","140.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","750","0.0",7.5,NA,"150.00",2025-11-11
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=7","/betting/nba/player/jerami-grant-odds-3588","1000","0.0",10,"7.6","200.00",NA,NA,NA,"1300","0.0",13,"4.8","260.00",NA,NA,NA,"1300","0.0",13,"5.1","260.00",NA,NA,NA,"1000","0.0",10,"6.0","200.00",NA,NA,NA,"900","0.0",9,"11.6","180.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1300","0.0",13,NA,"260.00",2025-11-11
"Sixth Man","5391","Quentin","Grimes","Quentin Grimes","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=7","/betting/nba/player/quentin-grimes-odds-5391","1000","0.0",10,"7.6","200.00",NA,NA,NA,"1100","0.0",11,"5.6","220.00",NA,NA,NA,"1600","0.0",16,"4.2","320.00",NA,NA,NA,"1200","0.0",12,"5.1","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","1600","0.0",16,NA,"320.00",2025-11-11
"Sixth Man","5337","Ayo","Dosunmu","Ayo Dosunmu","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=7","/betting/nba/player/ayo-dosunmu-odds-5337","1500","0.0",15,"5.2","300.00",NA,NA,NA,"1800","0.0",18,"3.5","360.00",NA,NA,NA,"2000","0.0",20,"3.4","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2000","0.0",20,NA,"400.00",2025-11-11
"Sixth Man","5704","Tari","Eason","Tari Eason","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=7","/betting/nba/player/tari-eason-odds-5704","2500","0.0",25,"3.2","500.00",NA,NA,NA,"2000","0.0",20,"3.2","400.00",NA,NA,NA,"2500","0.0",25,"2.7","500.00",NA,NA,NA,"2000","0.0",20,"3.2","400.00",NA,NA,NA,"2200","0.0",22,"5.1","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2025-11-11
"Sixth Man","4774","Ty","Jerome","Ty Jerome","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=7","/betting/nba/player/ty-jerome-odds-4774",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2500","0.0",25,"2.5","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2500","0.0",25,NA,"500.00",2025-11-11
"Sixth Man","5118","Onyeka","Okongwu","Onyeka Okongwu","ATL","https://content.rotowire.com/images/teamlogo/basketball/100ATL.png?v=7","/betting/nba/player/onyeka-okongwu-odds-5118","2500","0.0",25,"3.2","500.00",NA,NA,NA,"2000","0.0",20,"3.2","400.00",NA,NA,NA,"2500","0.0",25,"2.7","500.00",NA,NA,NA,"2000","0.0",20,"3.2","400.00",NA,NA,NA,"1400","0.0",14,"7.8","280.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2025-11-11
"Sixth Man","4791","Jordan","Poole","Jordan Poole","NOP","https://content.rotowire.com/images/teamlogo/basketball/100NOP.png?v=7","/betting/nba/player/jordan-poole-odds-4791",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.3","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","3000","0.0",30,NA,"600.00",2025-11-11
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=7","/betting/nba/player/naz-reid-odds-4806","3000","0.0",30,"2.7","600.00",NA,NA,NA,"2000","0.0",20,"3.2","400.00",NA,NA,NA,"2500","0.0",25,"2.7","500.00",NA,NA,NA,"1500","0.0",15,"4.1","300.00",NA,NA,NA,"1800","0.0",18,"6.1","360.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2025-11-11
