"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","-950","0.0",0.105263157894737,"82.9","2.11",NA,NA,NA,"-700","0.0",0.142857142857143,"78.2","2.86",NA,NA,NA,"-850","0.0",0.117647058823529,"0.0","2.35",NA,NA,NA,"-900","0.0",0.111111111111111,"83.6","2.22",NA,NA,NA,"325","0.0",3.25,"19.5","65.00",NA,NA,NA,"-700","0.0",0.142857142857143,"78.5","2.86",NA,NA,NA,"-900","0.0",0.111111111111111,"83.9","2.22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","325","0.0",3.25,NA,"65.00",2026-04-10
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","620","0.0",6.2,"12.7","124.00",NA,NA,NA,"500","0.0",5,"14.9","100.00",NA,NA,NA,"600","0.0",6,"0.0","120.00",NA,NA,NA,"650","0.0",6.5,"12.4","130.00",NA,NA,NA,"525","0.0",5.25,"13.3","105.00",NA,NA,NA,"500","0.0",5,"15.0","100.00",NA,NA,NA,"650","0.0",6.5,"12.4","130.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","650","0.0",6.5,NA,"130.00",2026-04-10
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1750","0.0",17.5,"4.5","350.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1750","0.0",17.5,NA,"350.00",2026-04-10
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/anfernee-simons-odds-4373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2250","0.0",22.5,"3.5","450.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2250","0.0",22.5,NA,"450.00",2026-04-10
"Sixth Man","4454","Grayson","Allen","Grayson Allen","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/grayson-allen-odds-4454",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","3000","0.0",30,NA,"600.00",2026-04-10
"Sixth Man","5428","Santi","Aldama","Santi Aldama","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/santi-aldama-odds-5428",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","5000","0.0",50,NA,"1,000.00",2026-04-10
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/jerami-grant-odds-3588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","5000","0.0",50,NA,"1,000.00",2026-04-10
"Sixth Man","3459","Tim","Hardaway","Tim Hardaway","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/tim-hardaway-odds-3459","10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"7500","0.0",75,"1.2","1,500.00",NA,NA,NA,"10000","0.0",100,"0.0","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"6600","0.0",66,"1.3","1,320.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-04-10
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"6000","0.0",60,"1.5","1,200.00",NA,NA,NA,"10000","0.0",100,"0.0","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,"6600","0.0",66,"1.3","1,320.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-04-10
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"5500","0.0",55,"1.6","1,100.00",NA,NA,NA,"10000","0.0",100,"0.0","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"190","0.0",1.9,"28.6","38.00",NA,NA,NA,"5000","0.0",50,"1.8","1,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-04-10
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","7500","0.0",75,"1.2","1,500.00",NA,NA,NA,"6000","0.0",60,"1.5","1,200.00",NA,NA,NA,"10000","0.0",100,"0.0","2,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,"1400","0.0",14,"5.5","280.00",NA,NA,NA,"5000","0.0",50,"1.8","1,000.00",NA,NA,NA,"10000","0.0",100,"0.9","2,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","10000","0.0",100,NA,"2,000.00",2026-04-10
"Sixth Man","5337","Ayo","Dosunmu","Ayo Dosunmu","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/ayo-dosunmu-odds-5337",NA,NA,NA,NA,NA,NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1500","0.0",15,"5.2","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","15000","0.0",150,NA,"3,000.00",2026-04-10
"Sixth Man","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/dylan-harper-odds-6549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20000","0.0",200,"0.4","4,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","20000","0.0",200,NA,"4,000.00",2026-04-10
"Sixth Man","3705","Bobby","Portis","Bobby Portis","MIL","https://content.rotowire.com/images/teamlogo/basketball/100MIL.png?v=10","/betting/nba/player/bobby-portis-odds-3705",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25000","0.0",250,"0.3","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","25000","0.0",250,NA,"5,000.00",2026-04-10
"Sixth Man","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/isaiah-stewart-odds-5137","30000","0.0",300,"0.3","6,000.00",NA,NA,NA,"15000","0.0",150,"0.6","3,000.00",NA,NA,NA,"10000","0.0",100,"0.0","2,000.00",NA,NA,NA,"25000","0.0",250,"0.4","5,000.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"25000","0.0",250,"0.4","5,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","30000","0.0",300,NA,"6,000.00",2026-04-10
"Sixth Man","5391","Quentin","Grimes","Quentin Grimes","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=10","/betting/nba/player/quentin-grimes-odds-5391","50000","0.0",500,"0.2","10,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"caesars","50000","0.0",500,NA,"10,000.00",2026-04-10
