"future","playerID","firstName","lastName","name","team","logo","playerURL","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","350","0.0",3.5,"18.2","70.00",NA,NA,NA,"350","0.0",3.5,"17.2","70.00",NA,NA,NA,"325","0.0",3.25,"27.7","65.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","350","0.0",3.5,NA,"70.00",2026-01-10
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","400","0.0",4,"16.4","80.00",NA,NA,NA,"400","0.0",4,"15.5","80.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","400","0.0",4,NA,"80.00",2026-01-10
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","750","0.0",7.5,"9.7","150.00",NA,NA,NA,"650","0.0",6.5,"10.3","130.00",NA,NA,NA,"750","0.0",7.5,"13.8","150.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","750","0.0",7.5,NA,"150.00",2026-01-10
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","800","0.0",8,"9.1","160.00",NA,NA,NA,"750","0.0",7.5,"9.1","150.00",NA,NA,NA,"700","0.0",7,"14.7","140.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","800","0.0",8,NA,"160.00",2026-01-10
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","1100","0.0",11,"6.8","220.00",NA,NA,NA,"1000","0.0",10,"7.1","200.00",NA,NA,NA,"1100","0.0",11,"9.8","220.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1100","0.0",11,NA,"220.00",2026-01-10
"Sixth Man","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/collin-gillespie-odds-5732","1600","0.0",16,"4.8","320.00",NA,NA,NA,"1500","0.0",15,"4.9","300.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1600","0.0",16,NA,"320.00",2026-01-10
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","2200","0.0",22,"3.6","440.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2200","0.0",22,NA,"440.00",2026-01-10
"Sixth Man","6277","Jaylon","Tyson","Jaylon Tyson","CLE","https://content.rotowire.com/images/teamlogo/basketball/100CLE.png?v=10","/betting/nba/player/jaylon-tyson-odds-6277",NA,NA,NA,NA,NA,NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","2500","0.0",25,NA,"500.00",2026-01-10
"Sixth Man","6549","Dylan","Harper","Dylan Harper","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/dylan-harper-odds-6549","2800","0.0",28,"2.8","560.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,"2000","0.0",20,"5.6","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2800","0.0",28,NA,"560.00",2026-01-10
"Sixth Man","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/isaiah-stewart-odds-5137","3000","0.0",30,"2.6","600.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2026-01-10
