"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","espnbet_odds","espnbet_line","espnbet_mult","espnbet_winPct","espnbet_win","espnbet_odds_under","espnbet_mult_under","espnbet_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","270","0.0",2.7,"20.8","54.00",NA,NA,NA,"280","0.0",2.8,"20.5","56.00",NA,NA,NA,"310","0.0",3.1,"18.9","62.00",NA,NA,NA,"275","0.0",2.75,"22.7","55.00",NA,NA,NA,"300","0.0",3,"27.2","60.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","310","0.0",3.1,NA,"62.00",2026-01-15
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","400","0.0",4,"15.4","80.00",NA,NA,NA,"500","0.0",5,"13.0","100.00",NA,NA,NA,"400","0.0",4,"15.5","80.00",NA,NA,NA,"500","0.0",5,"14.2","100.00",NA,NA,NA,"450","0.0",4.5,"19.8","90.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","500","0.0",5,NA,"100.00",2026-01-15
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","700","0.0",7,"9.6","140.00",NA,NA,NA,"700","0.0",7,"9.7","140.00",NA,NA,NA,"700","0.0",7,"9.7","140.00",NA,NA,NA,"600","0.0",6,"12.2","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","700","0.0",7,NA,"140.00",2026-01-15
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","900","0.0",9,"7.7","180.00",NA,NA,NA,"800","0.0",8,"8.6","160.00",NA,NA,NA,"900","0.0",9,"7.7","180.00",NA,NA,NA,"800","0.0",8,"9.5","160.00",NA,NA,NA,"1000","0.0",10,"9.9","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgm","1000","0.0",10,NA,"200.00",2026-01-15
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","600","0.0",6,"11.0","120.00",NA,NA,NA,"1100","0.0",11,"6.5","220.00",NA,NA,NA,"800","0.0",8,"8.6","160.00",NA,NA,NA,"1100","0.0",11,"7.1","220.00",NA,NA,NA,"800","0.0",8,"12.1","160.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1100","0.0",11,NA,"220.00",2026-01-15
"Sixth Man","4454","Grayson","Allen","Grayson Allen","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/grayson-allen-odds-4454",NA,NA,NA,NA,NA,NA,NA,NA,"1200","0.0",12,"6.0","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1200","0.0",12,NA,"240.00",2026-01-15
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","1500","0.0",15,"4.8","300.00",NA,NA,NA,"2200","0.0",22,"3.4","440.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,"2250","0.0",22.5,"3.6","450.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2250","0.0",22.5,NA,"450.00",2026-01-15
"Sixth Man","5732","Collin","Gillespie","Collin Gillespie","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/collin-gillespie-odds-5732","2500","0.0",25,"3.0","500.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,"2000","0.0",20,"3.7","400.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","2500","0.0",25,NA,"500.00",2026-01-15
"Sixth Man","5428","Santi","Aldama","Santi Aldama","MEM","https://content.rotowire.com/images/teamlogo/basketball/100MEM.png?v=10","/betting/nba/player/santi-aldama-odds-5428","3000","0.0",30,"2.5","600.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"2500","0.0",25,"3.0","500.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,"2500","0.0",25,"4.2","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2026-01-15
"Sixth Man","5391","Quentin","Grimes","Quentin Grimes","PHI","https://content.rotowire.com/images/teamlogo/basketball/100PHI.png?v=10","/betting/nba/player/quentin-grimes-odds-5391","2500","0.0",25,"3.0","500.00",NA,NA,NA,"3000","0.0",30,"2.5","600.00",NA,NA,NA,"2700","0.0",27,"2.8","540.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2026-01-15
