"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","200","0.0",2,"27.3","40.00",NA,NA,NA,"180","0.0",1.8,"29.1","36.00",NA,NA,NA,"210","0.0",2.1,"0.0","42.00",NA,NA,NA,"210","0.0",2.1,"27.5","42.00",NA,NA,NA,"190","0.0",1.9,"28.6","38.00",NA,NA,NA,"175","0.0",1.75,"30.2","35.00",NA,NA,NA,"210","0.0",2.1,"27.7","42.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","210","0.0",2.1,NA,"42.00",2026-03-14
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","300","0.0",3,"20.5","60.00",NA,NA,NA,"400","0.0",4,"16.3","80.00",NA,NA,NA,"290","0.0",2.9,"0.0","58.00",NA,NA,NA,"290","0.0",2.9,"21.9","58.00",NA,NA,NA,"525","0.0",5.25,"13.3","105.00",NA,NA,NA,"350","0.0",3.5,"18.4","70.00",NA,NA,NA,"325","0.0",3.25,"20.2","65.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","525","0.0",5.25,NA,"105.00",2026-03-14
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","750","0.0",7.5,"9.6","150.00",NA,NA,NA,"800","0.0",8,"9.0","160.00",NA,NA,NA,"700","0.0",7,"0.0","140.00",NA,NA,NA,"800","0.0",8,"9.5","160.00",NA,NA,NA,"325","0.0",3.25,"19.5","65.00",NA,NA,NA,"800","0.0",8,"9.2","160.00",NA,NA,NA,"800","0.0",8,"9.5","160.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","800","0.0",8,NA,"160.00",2026-03-14
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","950","0.0",9.5,"7.8","190.00",NA,NA,NA,"1100","0.0",11,"6.8","220.00",NA,NA,NA,"1000","0.0",10,"0.0","200.00",NA,NA,NA,"1000","0.0",10,"7.8","200.00",NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,"1000","0.0",10,"7.5","200.00",NA,NA,NA,"1200","0.0",12,"6.6","240.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1200","0.0",12,NA,"240.00",2026-03-14
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","340","0.0",3.4,"18.6","68.00",NA,NA,NA,"340","0.0",3.4,"18.5","68.00",NA,NA,NA,"375","0.0",3.75,"0.0","75.00",NA,NA,NA,"380","0.0",3.8,"17.8","76.00",NA,NA,NA,"1400","0.0",14,"5.5","280.00",NA,NA,NA,"350","0.0",3.5,"18.4","70.00",NA,NA,NA,"340","0.0",3.4,"19.5","68.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1400","0.0",14,NA,"280.00",2026-03-14
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1750","0.0",17.5,"4.5","350.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1750","0.0",17.5,NA,"350.00",2026-03-14
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/anfernee-simons-odds-4373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2250","0.0",22.5,"3.5","450.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2250","0.0",22.5,NA,"450.00",2026-03-14
"Sixth Man","3459","Tim","Hardaway","Tim Hardaway","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/tim-hardaway-odds-3459","2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"3.9","400.00",NA,NA,NA,"2000","0.0",20,"0.0","400.00",NA,NA,NA,"2000","0.0",20,"4.1","400.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","2500","0.0",25,NA,"500.00",2026-03-14
"Sixth Man","4454","Grayson","Allen","Grayson Allen","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/grayson-allen-odds-4454",NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","5000","0.0",50,NA,"1,000.00",2026-03-14
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/jerami-grant-odds-3588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","5000","0.0",50,NA,"1,000.00",2026-03-14
