"future","playerID","firstName","lastName","name","team","logo","playerURL","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanatics_odds","fanatics_line","fanatics_mult","fanatics_winPct","fanatics_win","fanatics_odds_under","fanatics_mult_under","fanatics_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","300","0.0",3,"20.9","60.00",NA,NA,NA,"270","0.0",2.7,"0.0","54.00",NA,NA,NA,"250","0.0",2.5,"24.3","50.00",NA,NA,NA,"190","0.0",1.9,"28.6","38.00",NA,NA,NA,"200","0.0",2,"28.6","40.00",NA,NA,NA,"275","0.0",2.75,"23.3","55.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","300","0.0",3,NA,"60.00",2026-03-16
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","230","0.0",2.3,"25.4","46.00",NA,NA,NA,"185","0.0",1.85,"0.0","37.00",NA,NA,NA,"230","0.0",2.3,"25.7","46.00",NA,NA,NA,"525","0.0",5.25,"13.3","105.00",NA,NA,NA,"300","0.0",3,"21.4","60.00",NA,NA,NA,"230","0.0",2.3,"26.5","46.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","525","0.0",5.25,NA,"105.00",2026-03-16
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","850","0.0",8.5,"8.8","170.00",NA,NA,NA,"500","0.0",5,"0.0","100.00",NA,NA,NA,"650","0.0",6.5,"11.3","130.00",NA,NA,NA,"325","0.0",3.25,"19.5","65.00",NA,NA,NA,"800","0.0",8,"9.5","160.00",NA,NA,NA,"650","0.0",6.5,"11.6","130.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","850","0.0",8.5,NA,"170.00",2026-03-16
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","900","0.0",9,"8.4","180.00",NA,NA,NA,"1000","0.0",10,"0.0","200.00",NA,NA,NA,"1000","0.0",10,"7.7","200.00",NA,NA,NA,"1200","0.0",12,"6.4","240.00",NA,NA,NA,"1000","0.0",10,"7.8","200.00",NA,NA,NA,"1000","0.0",10,"7.9","200.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1200","0.0",12,NA,"240.00",2026-03-16
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","380","0.0",3.8,"17.4","76.00",NA,NA,NA,"400","0.0",4,"0.0","80.00",NA,NA,NA,"450","0.0",4.5,"15.4","90.00",NA,NA,NA,"1400","0.0",14,"5.5","280.00",NA,NA,NA,"400","0.0",4,"17.1","80.00",NA,NA,NA,"450","0.0",4.5,"15.9","90.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1400","0.0",14,NA,"280.00",2026-03-16
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1750","0.0",17.5,"4.5","350.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","1750","0.0",17.5,NA,"350.00",2026-03-16
"Sixth Man","4373","Anfernee","Simons","Anfernee Simons","CHI","https://content.rotowire.com/images/teamlogo/basketball/100CHI.png?v=10","/betting/nba/player/anfernee-simons-odds-4373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2250","0.0",22.5,"3.5","450.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","2250","0.0",22.5,NA,"450.00",2026-03-16
"Sixth Man","3459","Tim","Hardaway","Tim Hardaway","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/tim-hardaway-odds-3459","2200","0.0",22,"3.6","440.00",NA,NA,NA,"4000","0.0",40,"0.0","800.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"2000","0.0",20,"4.0","400.00",NA,NA,NA,"2000","0.0",20,"4.1","400.00",NA,NA,NA,"3000","0.0",30,"2.8","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","3000","0.0",30,NA,"600.00",2026-03-16
"Sixth Man","3588","Jerami","Grant","Jerami Grant","POR","https://content.rotowire.com/images/teamlogo/basketball/100POR.png?v=10","/betting/nba/player/jerami-grant-odds-3588",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5000","0.0",50,"1.6","1,000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","5000","0.0",50,NA,"1,000.00",2026-03-16
"Sixth Man","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/isaiah-stewart-odds-5137","650","0.0",6.5,"11.2","130.00",NA,NA,NA,"950","0.0",9.5,"0.0","190.00",NA,NA,NA,"850","0.0",8.5,"8.9","170.00",NA,NA,NA,"6000","0.0",60,"1.4","1,200.00",NA,NA,NA,"800","0.0",8,"9.5","160.00",NA,NA,NA,"750","0.0",7.5,"10.3","150.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hardrock","6000","0.0",60,NA,"1,200.00",2026-03-16
