"future","playerID","firstName","lastName","name","team","logo","playerURL","caesars_odds","caesars_line","caesars_mult","caesars_winPct","caesars_win","caesars_odds_under","caesars_mult_under","caesars_win_under","draftkings_odds","draftkings_line","draftkings_mult","draftkings_winPct","draftkings_win","draftkings_odds_under","draftkings_mult_under","draftkings_win_under","fanduel_odds","fanduel_line","fanduel_mult","fanduel_winPct","fanduel_win","fanduel_odds_under","fanduel_mult_under","fanduel_win_under","hardrock_odds","hardrock_line","hardrock_mult","hardrock_winPct","hardrock_win","hardrock_odds_under","hardrock_mult_under","hardrock_win_under","mgm_odds","mgm_line","mgm_mult","mgm_winPct","mgm_win","mgm_odds_under","mgm_mult_under","mgm_win_under","thescore_odds","thescore_line","thescore_mult","thescore_winPct","thescore_win","thescore_odds_under","thescore_mult_under","thescore_win_under","betrivers_odds","betrivers_line","betrivers_mult","betrivers_winPct","betrivers_win","betrivers_odds_under","betrivers_mult_under","betrivers_win_under","best_oddsBook","best_odds","best_line","best_mult","best_winPct","best_win","date"
"Sixth Man","4806","Naz","Reid","Naz Reid","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/naz-reid-odds-4806","200","0.0",2,"28.1","40.00",NA,NA,NA,"190","0.0",1.9,"29.6","38.00",NA,NA,NA,"200","0.0",2,"27.4","40.00",NA,NA,NA,"190","0.0",1.9,"29.5","38.00",NA,NA,NA,"200","0.0",2,"43.2","40.00",NA,NA,NA,"175","0.0",1.75,"29.9","35.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","200","0.0",2,NA,"40.00",2026-02-08
"Sixth Man","4782","Keldon","Johnson","Keldon Johnson","SAS","https://content.rotowire.com/images/teamlogo/basketball/100SAS.png?v=10","/betting/nba/player/keldon-johnson-odds-4782","375","0.0",3.75,"17.8","75.00",NA,NA,NA,"450","0.0",4.5,"15.6","90.00",NA,NA,NA,"380","0.0",3.8,"17.1","76.00",NA,NA,NA,"450","0.0",4.5,"15.6","90.00",NA,NA,NA,"375","0.0",3.75,"27.3","75.00",NA,NA,NA,"300","0.0",3,"20.5","60.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","450","0.0",4.5,NA,"90.00",2026-02-08
"Sixth Man","6289","Ajay","Mitchell","Ajay Mitchell","OKC","https://content.rotowire.com/images/teamlogo/basketball/100OKC.png?v=10","/betting/nba/player/ajay-mitchell-odds-6289","550","0.0",5.5,"13.0","110.00",NA,NA,NA,"600","0.0",6,"12.3","120.00",NA,NA,NA,"600","0.0",6,"11.7","120.00",NA,NA,NA,"600","0.0",6,"12.2","120.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"650","0.0",6.5,"11.0","130.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","650","0.0",6.5,NA,"130.00",2026-02-08
"Sixth Man","5960","Jaime","Jaquez","Jaime Jaquez","MIA","https://content.rotowire.com/images/teamlogo/basketball/100MIA.png?v=10","/betting/nba/player/jaime-jaquez-odds-5960","775","0.0",7.75,"9.6","155.00",NA,NA,NA,"700","0.0",7,"10.7","140.00",NA,NA,NA,"850","0.0",8.5,"8.6","170.00",NA,NA,NA,"700","0.0",7,"10.7","140.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"850","0.0",8.5,"8.7","170.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fanduel","850","0.0",8.5,NA,"170.00",2026-02-08
"Sixth Man","6257","Reed","Sheppard","Reed Sheppard","HOU","https://content.rotowire.com/images/teamlogo/basketball/100HOU.png?v=10","/betting/nba/player/reed-sheppard-odds-6257","950","0.0",9.5,"8.0","190.00",NA,NA,NA,"1000","0.0",10,"7.8","200.00",NA,NA,NA,"1000","0.0",10,"7.5","200.00",NA,NA,NA,"1000","0.0",10,"7.8","200.00",NA,NA,NA,"1000","0.0",10,"11.8","200.00",NA,NA,NA,"900","0.0",9,"8.2","180.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","1000","0.0",10,NA,"200.00",2026-02-08
"Sixth Man","5337","Ayo","Dosunmu","Ayo Dosunmu","MIN","https://content.rotowire.com/images/teamlogo/basketball/100MIN.png?v=10","/betting/nba/player/ayo-dosunmu-odds-5337","1800","0.0",18,"4.4","360.00",NA,NA,NA,"2000","0.0",20,"4.1","400.00",NA,NA,NA,"1900","0.0",19,"4.1","380.00",NA,NA,NA,"2000","0.0",20,"4.1","400.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2200","0.0",22,"3.6","440.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","2200","0.0",22,NA,"440.00",2026-02-08
"Sixth Man","3459","Tim","Hardaway","Tim Hardaway","DEN","https://content.rotowire.com/images/teamlogo/basketball/100DEN.png?v=10","/betting/nba/player/tim-hardaway-odds-3459","2800","0.0",28,"2.9","560.00",NA,NA,NA,"3000","0.0",30,"2.8","600.00",NA,NA,NA,"3000","0.0",30,"2.6","600.00",NA,NA,NA,"3000","0.0",30,"2.8","600.00",NA,NA,NA,"3000","0.0",30,"4.2","600.00",NA,NA,NA,"3000","0.0",30,"2.7","600.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","3000","0.0",30,NA,"600.00",2026-02-08
"Sixth Man","4454","Grayson","Allen","Grayson Allen","PHX","https://content.rotowire.com/images/teamlogo/basketball/100PHX.png?v=10","/betting/nba/player/grayson-allen-odds-4454","2000","0.0",20,"4.0","400.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,"1900","0.0",19,"4.1","380.00",NA,NA,NA,"2500","0.0",25,"3.3","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4000","0.0",40,"2.0","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thescore","4000","0.0",40,NA,"800.00",2026-02-08
"Sixth Man","5910","Anthony","Black","Anthony Black","ORL","https://content.rotowire.com/images/teamlogo/basketball/100ORL.png?v=10","/betting/nba/player/anthony-black-odds-5910","2500","0.0",25,"3.2","500.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,"1900","0.0",19,"4.1","380.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,"2500","0.0",25,"5.0","500.00",NA,NA,NA,"2500","0.0",25,"3.2","500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4000","0.0",40,NA,"800.00",2026-02-08
"Sixth Man","5137","Isaiah","Stewart","Isaiah Stewart","DET","https://content.rotowire.com/images/teamlogo/basketball/100DET.png?v=10","/betting/nba/player/isaiah-stewart-odds-5137","4000","0.0",40,"2.1","800.00",NA,NA,NA,"4500","0.0",45,"1.9","900.00",NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,"4000","0.0",40,"2.1","800.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3300","0.0",33,"2.4","660.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"draftkings","4500","0.0",45,NA,"900.00",2026-02-08
